Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ArrangeByLogin,Chrome 122.0.0.0,first only not login test case will run after that 1 login is performed and next all remaining login test case will run,,07-03-2024 15:52:46,07-03-2024 16:57:06,1h - 4m - 20.168s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_001,Chrome 122.0.0.0,To Verify that user is able to the access the site by typing Redesign URL in the browse.,,07-03-2024 15:53:14,07-03-2024 15:53:39,24.471s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:14,07-03-2024 15:53:15,0.737s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 15:53:15,07-03-2024 15:53:39,23.605s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_002,Chrome 122.0.0.0,"To verify  that system display the following link in the header
1.Departmentos
2.Marcas
3.Credito
4.Mesa de regalosa 
5.Search text box
6.Iniciar sesion
7.Ubica tu tienda 
8.Mis pedidos
9.Ayuda",,07-03-2024 15:53:39,07-03-2024 15:54:05,26.030s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Logo_hp""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:39,07-03-2024 15:53:39,0.351s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Departamentos""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:39,07-03-2024 15:53:39,0.301s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand1_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:39,07-03-2024 15:53:40,0.323s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand2_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:40,07-03-2024 15:53:40,0.315s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand3_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:40,07-03-2024 15:53:40,0.283s,PASSED
"verifyElementPresent(findTestObject(""HomePage/brand4_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:40,07-03-2024 15:53:41,0.298s,PASSED
"verifyElementPresent(findTestObject(""HomePage/mesa_de_regalos_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:41,07-03-2024 15:53:41,0.283s,PASSED
"verifyElementPresent(findTestObject(""HomePage/credito_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:41,07-03-2024 15:53:41,0.283s,PASSED
"verifyElementPresent(findTestObject(""HomePage/MainSearchbar_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:41,07-03-2024 15:53:41,0.331s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Iniciar sesion""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:41,07-03-2024 15:53:42,0.330s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Tiendas_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:42,07-03-2024 15:53:42,0.330s,PASSED
"verifyElementPresent(findTestObject(""HomePage/Ayuda_HP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:53:42,07-03-2024 15:53:42,0.314s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 15:53:42,07-03-2024 15:54:05,22.225s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_003,Chrome 122.0.0.0,To verify the display of L1 category flyout on mouse hover the Departmentos link,,07-03-2024 15:54:05,07-03-2024 15:54:46,41.773s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,07-03-2024 15:54:05,07-03-2024 15:54:18,13.013s,PASSED
"mouseOver(findTestObject(""HomePage/Departamentos""))",Chrome 122.0.0.0,,,07-03-2024 15:54:18,07-03-2024 15:54:22,4.089s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,07-03-2024 15:54:22,07-03-2024 15:54:22,0.314s,PASSED
"click(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,07-03-2024 15:54:22,07-03-2024 15:54:23,0.411s,PASSED
"mouseOver(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,07-03-2024 15:54:23,07-03-2024 15:54:23,0.706s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L2CategoryInFlyout_HP""))",Chrome 122.0.0.0,,,07-03-2024 15:54:23,07-03-2024 15:54:24,0.355s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L3CategoriesInFlyout_HP""))",Chrome 122.0.0.0,,,07-03-2024 15:54:24,07-03-2024 15:54:24,0.299s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 15:54:24,07-03-2024 15:54:46,22.498s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_007,Chrome 122.0.0.0,To verify the display of Login overlay when Anonymous user click on  Iniciar sesion link,,07-03-2024 15:54:46,07-03-2024 15:55:26,39.530s,PASSED
waitForPageLoad(5),Chrome 122.0.0.0,,,07-03-2024 15:54:47,07-03-2024 15:54:47,0.031s,PASSED
"click(findTestObject(""HomePage/Iniciar sesion""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 15:54:47,07-03-2024 15:54:47,0.398s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterUsername_LP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:54:47,07-03-2024 15:54:53,6.212s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterPassword_LP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:54:53,07-03-2024 15:54:53,0.286s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,07-03-2024 15:54:53,07-03-2024 15:55:04,10.398s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 15:55:04,07-03-2024 15:55:26,22.111s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_008,Chrome 122.0.0.0,"To verify that the user is navigated to  ""Tiendas""( Store locator) page by clicking on the  “Ubica tu tienda "" link on the header section.",,07-03-2024 15:55:26,07-03-2024 15:56:16,49.557s,PASSED
"click(findTestObject(""HomePage/Tiendas_HP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 15:55:26,07-03-2024 15:55:26,0.367s,PASSED
"verifyElementPresent(findTestObject(""SLP/breadCrumb_SLP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:55:26,07-03-2024 15:55:36,9.802s,PASSED
"verifyElementPresent(findTestObject(""SLP/Map_Verify_slp""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:55:36,07-03-2024 15:55:37,0.700s,PASSED
"verifyElementPresent(findTestObject(""SLP/find_store_title_SLP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:55:37,07-03-2024 15:55:38,1.009s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,07-03-2024 15:55:38,07-03-2024 15:55:53,14.740s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 15:55:53,07-03-2024 15:56:16,22.813s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_009,Chrome 122.0.0.0,"To verify that an Anonymous user is navigated to Login page by clicking on the  “Mis pedidos"" link on the header section.",,07-03-2024 15:56:16,07-03-2024 15:56:54,38.632s,PASSED
"click(findTestObject(""HomePage/Mis_comprar""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 15:56:16,07-03-2024 15:56:16,0.396s,PASSED
"click(findTestObject(""HomePage/Iniciar_miscompras""))",Chrome 122.0.0.0,,,07-03-2024 15:56:16,07-03-2024 15:56:21,4.912s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterUsername_LP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:56:21,07-03-2024 15:56:24,2.743s,PASSED
"verifyElementPresent(findTestObject(""HomePage/EnterPassword_LP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:56:24,07-03-2024 15:56:24,0.290s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 15:56:24,07-03-2024 15:56:54,30.228s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/HomePage/TS_SMOKE_SUITE_013,Chrome 122.0.0.0,To verify that the user is able to create account from Login overlay,,07-03-2024 15:56:54,07-03-2024 15:57:37,42.919s,ERROR
"openBrowser("""")",Chrome 122.0.0.0,,,07-03-2024 15:56:54,07-03-2024 15:56:56,1.388s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,07-03-2024 15:56:56,07-03-2024 15:57:12,16.712s,PASSED
randomemail = a.GenerateRandomEmail.generateRandomEmail(),Chrome 122.0.0.0,,,07-03-2024 15:57:12,07-03-2024 15:57:12,0.038s,ERROR
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 15:57:12,07-03-2024 15:57:37,24.646s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_039,Chrome 122.0.0.0,To verify that the breadcrumbs are clickable when user has landed on L1 category page.,,07-03-2024 15:57:37,07-03-2024 15:58:10,32.402s,PASSED
"click(findTestObject(""HomePage/Departamentos""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 15:57:37,07-03-2024 15:57:38,0.421s,PASSED
"verifyElementClickable(findTestObject(""HomePage/L1_Category1_HP""))",Chrome 122.0.0.0,,,07-03-2024 15:57:38,07-03-2024 15:57:38,0.524s,PASSED
"click(findTestObject(""HomePage/L1_Category_HP""))",Chrome 122.0.0.0,,,07-03-2024 15:57:38,07-03-2024 15:57:39,0.389s,PASSED
"verifyElementClickable(findTestObject(""CLPPage/breadCrumb_clp""))",Chrome 122.0.0.0,,,07-03-2024 15:57:39,07-03-2024 15:57:47,8.726s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 15:57:47,07-03-2024 15:58:10,22.267s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_047,Chrome 122.0.0.0,To verify the display of facets on the item listing page,,07-03-2024 15:58:10,07-03-2024 15:58:49,39.153s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""ropa""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 15:58:10,07-03-2024 15:58:19,9.405s,PASSED
"verifyElementClickable(findTestObject(""CLPPage/breadCrumb_clp""))",Chrome 122.0.0.0,,,07-03-2024 15:58:19,07-03-2024 15:58:24,4.653s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/CategoríasTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:58:24,07-03-2024 15:58:24,0.303s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/DescontousTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:58:24,07-03-2024 15:58:25,0.694s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/TamanoTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:58:25,07-03-2024 15:58:25,0.333s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/MarcasTitleFacet_PLP""), 0, OPTIONAL)",Chrome 122.0.0.0,,,07-03-2024 15:58:25,07-03-2024 15:58:25,0.311s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/VendidoTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:58:25,07-03-2024 15:58:26,0.323s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/PreciosTitleFacet_PLP""), 0)",Chrome 122.0.0.0,,,07-03-2024 15:58:26,07-03-2024 15:58:26,0.333s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 15:58:26,07-03-2024 15:58:49,22.705s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_048,Chrome 122.0.0.0,To verify the display of price range on the item listing page for multi sku items.,,07-03-2024 15:58:49,07-03-2024 15:59:26,37.244s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":Multi_Sku_With_Range_Plp], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 15:58:49,07-03-2024 15:58:57,8.212s,PASSED
"a = getText(findTestObject(""PLPPage/product2_cardPrice_PLP""))",Chrome 122.0.0.0,"verify price range
",,07-03-2024 15:58:57,07-03-2024 15:59:03,6.045s,PASSED
"b = getText(findTestObject(""PLPPage/product-2-DiscountPrice_PLP""))",Chrome 122.0.0.0,"verify price range
",,07-03-2024 15:59:03,07-03-2024 15:59:04,0.353s,PASSED
"a1 = a.contains(""-"")",Chrome 122.0.0.0,,,07-03-2024 15:59:04,07-03-2024 15:59:04,0.001s,PASSED
"b1 = b.contains(""-"")",Chrome 122.0.0.0,,,07-03-2024 15:59:04,07-03-2024 15:59:04,0.001s,PASSED
out.println(a1),Chrome 122.0.0.0,,,07-03-2024 15:59:04,07-03-2024 15:59:04,0.029s,PASSED
out.println(b1),Chrome 122.0.0.0,,,07-03-2024 15:59:04,07-03-2024 15:59:04,0.002s,PASSED
if (a1 == true && b1 == true),Chrome 122.0.0.0,,,07-03-2024 15:59:04,07-03-2024 15:59:04,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 15:59:04,07-03-2024 15:59:26,22.424s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_049,Chrome 122.0.0.0,To verify the display of list price & sale price on the item listing page for single sku items.,,07-03-2024 15:59:26,07-03-2024 16:00:03,36.685s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":rate_CPandDP], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 15:59:26,07-03-2024 15:59:35,9.001s,PASSED
"verifyElementVisible(findTestObject(""PLPPage/product1_cardPrice_PLP""))",Chrome 122.0.0.0,"verify selling price
",,07-03-2024 15:59:35,07-03-2024 15:59:40,4.920s,PASSED
"verifyElementVisible(findTestObject(""PLPPage/product1_discountPrice_PLP""))",Chrome 122.0.0.0,"verify listed price
",,07-03-2024 15:59:40,07-03-2024 15:59:40,0.348s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 15:59:40,07-03-2024 16:00:03,22.316s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_055,Chrome 122.0.0.0,To verify the display of product price range on PDP page for multi sku item.,,07-03-2024 16:00:03,07-03-2024 16:00:46,43.483s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":ProductRangeMultiSKU], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 16:00:03,07-03-2024 16:00:11,8.221s,PASSED
"verifyElementPresent(findTestObject(""PDPPage/Colour2_PDP""), 0)",Chrome 122.0.0.0,"verify milti sku
",,07-03-2024 16:00:11,07-03-2024 16:00:33,22.189s,PASSED
"verifyElementPresent(findTestObject(""PDPPage/minus(-)(priceRange)_PDP""), 0)",Chrome 122.0.0.0,"verify price range
",,07-03-2024 16:00:33,07-03-2024 16:00:35,1.360s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 16:00:35,07-03-2024 16:00:46,11.630s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_054,Chrome 122.0.0.0,To verify the display of product price on PDP page for single sku item.,,07-03-2024 16:00:46,07-03-2024 16:01:35,49.030s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,07-03-2024 16:00:46,07-03-2024 16:01:00,13.987s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""zap""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 16:01:00,07-03-2024 16:01:09,8.533s,PASSED
"click(findTestObject(""PLPPage/product1_PLP""))",Chrome 122.0.0.0,,,07-03-2024 16:01:09,07-03-2024 16:01:14,5.457s,PASSED
"verifyElementPresent(findTestObject(""PDPPage/Colour1_PDP""), 0)",Chrome 122.0.0.0,,,07-03-2024 16:01:14,07-03-2024 16:01:22,7.467s,PASSED
"verifyElementNotPresent(findTestObject(""PDPPage/Colour2_PDP""), 0)",Chrome 122.0.0.0,"verify sku not present
",,07-03-2024 16:01:22,07-03-2024 16:01:23,1.442s,PASSED
"verifyElementPresent(findTestObject(""PDPPage/discountPrice_PDP""), 0)",Chrome 122.0.0.0,"verify discount price present
",,07-03-2024 16:01:23,07-03-2024 16:01:23,0.362s,PASSED
"verifyElementPresent(findTestObject(""PDPPage/cardPrice_PDP""), 0)",Chrome 122.0.0.0,"verify card price present
",,07-03-2024 16:01:23,07-03-2024 16:01:24,0.329s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 16:01:24,07-03-2024 16:01:35,11.375s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_056,Chrome 122.0.0.0,To verify the display of PDP for single sku,,07-03-2024 16:01:35,07-03-2024 16:02:13,37.650s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""pantalon""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 16:01:35,07-03-2024 16:01:44,8.408s,PASSED
"click(findTestObject(""PLPPage/product-2-DiscountPrice_PLP""))",Chrome 122.0.0.0,,,07-03-2024 16:01:44,07-03-2024 16:01:49,5.211s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/ProductName_PDP""))",Chrome 122.0.0.0,,,07-03-2024 16:01:49,07-03-2024 16:01:59,9.905s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/ProductID_pdp""))",Chrome 122.0.0.0,,,07-03-2024 16:01:59,07-03-2024 16:01:59,0.566s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/discountPrice_PDP""))",Chrome 122.0.0.0,,,07-03-2024 16:01:59,07-03-2024 16:02:00,0.315s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Colour1_PDP""))",Chrome 122.0.0.0,,,07-03-2024 16:02:00,07-03-2024 16:02:00,0.331s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Alternate_Img_pdp""))",Chrome 122.0.0.0,,,07-03-2024 16:02:00,07-03-2024 16:02:00,0.283s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/AddToCart_PDP""))",Chrome 122.0.0.0,,,07-03-2024 16:02:00,07-03-2024 16:02:01,0.330s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Detail_PDP""))",Chrome 122.0.0.0,,,07-03-2024 16:02:01,07-03-2024 16:02:01,0.378s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/breadCrumb_pdp""))",Chrome 122.0.0.0,,,07-03-2024 16:02:01,07-03-2024 16:02:01,0.331s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 16:02:01,07-03-2024 16:02:13,11.529s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Browse and Shop/TS_SMOKE_SUITE_057,Chrome 122.0.0.0,To verify the display of PDP for multi  sku item,,07-03-2024 16:02:13,07-03-2024 16:02:47,34.185s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":ProductNoRangeMultiSKU], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 16:02:13,07-03-2024 16:02:21,8.207s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/discountPrice_PDP""))",Chrome 122.0.0.0,,,07-03-2024 16:02:21,07-03-2024 16:02:32,11.088s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/breadCrumb_pdp""))",Chrome 122.0.0.0,"
",,07-03-2024 16:02:32,07-03-2024 16:02:33,0.330s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Colour1_PDP""))",Chrome 122.0.0.0,,,07-03-2024 16:02:33,07-03-2024 16:02:33,0.314s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Colour2_PDP""))",Chrome 122.0.0.0,,,07-03-2024 16:02:33,07-03-2024 16:02:33,0.346s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/AddToCart_PDP""))",Chrome 122.0.0.0,,,07-03-2024 16:02:33,07-03-2024 16:02:34,0.309s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Alternate_Img_pdp""))",Chrome 122.0.0.0,,,07-03-2024 16:02:34,07-03-2024 16:02:34,0.330s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Detail_PDP""))",Chrome 122.0.0.0,"
",,07-03-2024 16:02:34,07-03-2024 16:02:34,0.345s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/ProductName_PDP""))",Chrome 122.0.0.0,"verify pdp price

",,07-03-2024 16:02:34,07-03-2024 16:02:35,0.298s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/ProductID_pdp""))",Chrome 122.0.0.0,"verify pdp price

",,07-03-2024 16:02:35,07-03-2024 16:02:35,0.299s,PASSED
"verifyElementClickable(findTestObject(""PDPPage/Detail_PDP""))",Chrome 122.0.0.0,"verify pdp price

",,07-03-2024 16:02:35,07-03-2024 16:02:35,0.330s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 16:02:35,07-03-2024 16:02:47,11.902s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Search/TS_SMOKE_SUITE_059,Chrome 122.0.0.0,To verify the default display of the products per page in the search result page,search,07-03-2024 16:02:47,07-03-2024 16:03:23,36.187s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""mac""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 16:02:47,07-03-2024 16:02:56,8.874s,PASSED
"verifyElementPresent(findTestObject(""PDPPage/product_56_PDP""), 0)",Chrome 122.0.0.0,"last product at a page  not 45

",,07-03-2024 16:02:56,07-03-2024 16:03:01,4.557s,PASSED
"verifyElementNotPresent(findTestObject(""PDPPage/product_57_PDP""), 0)",Chrome 122.0.0.0,,,07-03-2024 16:03:01,07-03-2024 16:03:01,0.332s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 16:03:01,07-03-2024 16:03:23,22.356s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Search/TS_SMOKE_SUITE_060,Chrome 122.0.0.0,To verify the functionality of facet selection in search result page.,,07-03-2024 16:03:23,07-03-2024 16:04:22,58.287s,PASSED
navigateToUrl(URL),Chrome 122.0.0.0,,,07-03-2024 16:03:23,07-03-2024 16:03:40,16.742s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""mac""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 16:03:40,07-03-2024 16:03:48,8.285s,PASSED
waitForPageLoad(0),Chrome 122.0.0.0,,,07-03-2024 16:03:48,07-03-2024 16:03:48,0.019s,PASSED
"verifyElementPresent(findTestObject(""PLPPage/facetes/Facet_Seller_liverpool_PLP""), 0)",Chrome 122.0.0.0,,,07-03-2024 16:03:48,07-03-2024 16:03:53,4.439s,PASSED
"a = getText(findTestObject(""PLPPage/Facet_Seller_liverpool_title_PLP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 16:03:53,07-03-2024 16:03:53,0.347s,PASSED
"click(findTestObject(""PLPPage/facetes/Facet_Seller_liverpool_PLP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 16:03:53,07-03-2024 16:03:54,0.421s,PASSED
"b = getText(findTestObject(""PLPPage/facetes/selectedfacet1_PLP""))",Chrome 122.0.0.0,,,07-03-2024 16:03:54,07-03-2024 16:03:59,5.771s,PASSED
out.println(a),Chrome 122.0.0.0,,,07-03-2024 16:03:59,07-03-2024 16:03:59,0.008s,PASSED
out.println(b),Chrome 122.0.0.0,,,07-03-2024 16:03:59,07-03-2024 16:03:59,0.000s,PASSED
if (a.contains(b)),Chrome 122.0.0.0,,,07-03-2024 16:03:59,07-03-2024 16:03:59,0.008s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,07-03-2024 16:03:59,07-03-2024 16:04:22,22.138s,ERROR
,,,,,,,
Test Cases/ArangeByLogin/Search/TS_SMOKE_SUITE_061,Chrome 122.0.0.0,To verify the functionality of pagination in search result page.,search,07-03-2024 16:04:22,07-03-2024 16:05:20,58.551s,PASSED
"callTestCase(findTestCase(""CommonMethods/SearchForAProduct_search""), [""searchTerm"":""mac""], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 16:04:22,07-03-2024 16:04:30,8.256s,PASSED
waitForPageLoad(0),Chrome 122.0.0.0,,,07-03-2024 16:04:30,07-03-2024 16:04:30,0.011s,PASSED
"scrollToElement(findTestObject(""PLPPage/pagenation_1_PLP""), 0)",Chrome 122.0.0.0,,,07-03-2024 16:04:30,07-03-2024 16:04:37,6.961s,PASSED
"scrollToPosition(450, 0)",Chrome 122.0.0.0,,,07-03-2024 16:04:37,07-03-2024 16:04:37,0.038s,PASSED
"click(findTestObject(""PLPPage/pagenation_2_PLP""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,07-03-2024 16:04:37,07-03-2024 16:04:37,0.445s,PASSED
delay(10),Chrome 122.0.0.0,,,07-03-2024 16:04:37,07-03-2024 16:04:47,10.003s,PASSED
a1 = getUrl(),Chrome 122.0.0.0,,,07-03-2024 16:04:47,07-03-2024 16:04:47,0.015s,PASSED
out.println(a1),Chrome 122.0.0.0,,,07-03-2024 16:04:47,07-03-2024 16:04:47,0.000s,PASSED
